"Date (TU)","Date de la mesure du min/max (TU)","Valeur (en m)","Statut","Qualification","Méthode","Continuité"
2016-06-10T00:00:00.000Z,2016-06-10T02:45:00.000Z,"43.98","4",16,0,0
2016-06-11T00:00:00.000Z,2016-06-11T23:40:00.000Z,"44.00","4",16,0,0
2016-06-12T00:00:00.000Z,2016-06-12T22:55:00.000Z,"43.93","4",16,0,0
2016-06-13T00:00:00.000Z,2016-06-13T08:45:00.000Z,"43.93","4",16,0,0
2016-06-14T00:00:00.000Z,2016-06-14T13:10:00.000Z,"43.75","4",16,0,0
2016-06-15T00:00:00.000Z,2016-06-15T05:10:00.000Z,"44.00","4",16,0,0
2016-06-16T00:00:00.000Z,2016-06-16T02:50:00.000Z,"44.00","4",16,0,0
2016-06-17T00:00:00.000Z,2016-06-17T02:25:00.000Z,"44.00","4",16,0,0
2016-06-18T00:00:00.000Z,2016-06-18T05:55:00.000Z,"44.01","4",16,0,0
2016-06-19T00:00:00.000Z,2016-06-19T16:25:00.000Z,"44.00","4",16,0,0
2016-06-20T00:00:00.000Z,2016-06-20T07:25:00.000Z,"44.00","4",16,0,0
2016-06-21T00:00:00.000Z,2016-06-21T16:55:00.000Z,"43.98","4",16,0,0
2016-06-22T00:00:00.000Z,2016-06-22T01:05:00.000Z,"44.00","4",16,0,0
2016-06-23T00:00:00.000Z,2016-06-23T00:10:00.000Z,"44.02","4",16,0,0
2016-06-24T00:00:00.000Z,2016-06-24T20:45:00.000Z,"44.02","4",16,0,0
2016-06-25T00:00:00.000Z,2016-06-25T21:05:00.000Z,"43.98","4",16,0,0
2016-06-26T00:00:00.000Z,2016-06-26T19:25:00.000Z,"43.92","4",16,0,0
2016-06-27T00:00:00.000Z,2016-06-27T01:55:00.000Z,"43.94","4",16,0,0
2016-06-28T00:00:00.000Z,2016-06-28T00:10:00.000Z,"43.96","4",16,0,0
2016-06-29T00:00:00.000Z,2016-06-29T11:10:00.000Z,"43.80","4",16,0,0
2016-06-30T00:00:00.000Z,2016-06-30T19:10:00.000Z,"43.95","4",16,0,0
2016-07-01T00:00:00.000Z,2016-07-01T12:20:00.000Z,"43.77","4",16,0,0
2016-07-02T00:00:00.000Z,2016-07-02T00:00:00.000Z,"44.03","4",16,0,0
2016-07-03T00:00:00.000Z,2016-07-03T23:20:00.000Z,"43.80","4",16,0,0
2016-07-04T00:00:00.000Z,2016-07-04T18:20:00.000Z,"43.73","4",16,0,0
2016-07-05T00:00:00.000Z,2016-07-05T14:50:00.000Z,"43.69","4",16,0,0
